COD_ID,NOME,tipo,SUB,SUB_NOME,UNI_TR_AT,TEN_NOM,TEN_NOM_kV,MUN,km_MT,ENE_MWh_ano,ENE_UC_MWh_ano,n_UNTRMT,kVA_instalado,n_UCBT,n_UCMT,n_DER,kW_DER,chaves_total,chaves_NA,chaves_NF,chaves_telecomandadas,NA_interligacao,NA_interligacao_telecomandada,NA_interligacao_SE,NA_interligacao_campo,NA_interligacao_campo_telecomandada,n_vizinhos,vizinhos,n_UNREMT,n_UNCRMT,lon_min,lat_min,lon_max,lat_max,score,n_clientes,CONJ_CODIGO,CONJ_NOME,ties_campo,ties_telecomandadas,ties_manuais,pares_ctmt_vizinho,grau,sem_socorro,alimentadores_socorro,subestacoes_socorro,subestacoes_socorro_nomes,conjuntos_socorro,conjuntos_socorro_nomes,chaves_campo,componente_id,tamanho_componente
PCI0015,LDA ZIULA,LDA,450101398,SETD PACIENCIA,716630134,46,13.2,3304557,24.016,34436.393,12446.402,107,11142.5,4976,12,39,537.22,50,10,40,934043802;959657540;960125578,14,3,0,14,3,4,ESP016;MTO00001;MTO00002;PCI0005,0,0,-43.652916,-22.991295,-43.620958,-22.935395,69832,4988,16899,ESPERANCA AEREO AT/MT,14,3,11,14,4,False,ESP016;MTO00001;MTO00002;PCI0005,18519958;29148432;450101398,SETD ESPERANCA;SETD MATO ALTO;SETD PACIENCIA,16898;16899;16900,ESPERANCA AEREO AT/MT;MATO ALTO;PACIENCIA,20659068;20684964;22476223;22476578;22765775;22943779;25679330;536586879;545320841;54904423;749367429;934043802;959657540;960125578,1,1097
TRS001,LDA PORTO,LDA,18520326,SETD TRES RIOS,18915150,46,13.2,3306008,16.209,22781.127,24050.79,81,8995.0,3901,15,65,1404.221,64,15,49,,17,0,3,14,0,5,TRS007;TRS008;TRS009;TRS010;TRS013,0,1,-43.234206,-22.124686,-43.169269,-22.089932,54824,3916,15087,TRES RIOS AEREO AT/MT,14,0,14,15,4,False,TRS007;TRS008;TRS009;TRS010,18520326,SETD TRES RIOS,15087;15088,TRES RIOS AEREO AT/MT;TRES RIOS AEREO MT/MT,20727538;20769900;20770012;20770047;20770068;20774376;20774383;20774404;20789583;20804107;20804149;313620894;34974796;926981577,1,1097
TRS014,LSA INEMA,LSA,18520326,SETD TRES RIOS,18915165,67,25.0,3306008,590.782,34625.253,55522.387,1410,75195.0,16919,42,364,12344.452,603,87,516,1005543161;801127346,16,3,2,14,2,3,TRS004;TRS005;TRS013,1,1,-43.460498,-22.356123,-43.16715,-22.062773,237454,16961,15087,TRES RIOS AEREO AT/MT,14,2,12,14,3,False,TRS004;TRS005;TRS013,18520326,SETD TRES RIOS,15087;15088,TRES RIOS AEREO AT/MT;TRES RIOS AEREO MT/MT,1005543161;142328274;143174891;149439826;179493549;20677684;20718193;20805059;20805108;20805115;20805185;277023217;32278254;801127346,1,1097
CCD205,LSA QUITUNGO,LSA,1186,SETD CASCADURA,1248234,67,25.0,3304557,26.93,0.0,0.0,0,0.0,0,0,0,0.0,35,8,27,,14,0,1,13,0,13,AGR001;AGR010;AGR013;BPN20131;CCD250;CCD268;CCD292;CCD3713;CCD70128;CLG0012;MRT2492;MRT273;MTC007,0,0,-43.337437,-22.881151,-43.296317,-22.818566,0,0,,,13,0,13,13,12,False,AGR001;AGR010;AGR013;BPN20131;CCD250;CCD268;CCD292;CCD3713;CLG0012;MRT2492;MRT273;MTC007,1159;1186;1249;1276;1285;1312,SETD AGUA GRANDE;SETD BRAS DE PINA;SETD CASCADURA;SETD COLEGIO;SETD MATURACA;SETD MERITI,15021;15024;15031;15034;15045,AGUA GRANDE AEREO;CASCADURA AEREO;COLEGIO AEREO;MATURACA AEREO;TRIAGEM AEREO,138949629;1580606;1588208;1606660;1608193;1608200;1614416;1631580;1631699;490490857;649124289;670834453;776612870,1,1097
MNB006,LDA ROVEIRA,LDA,18520902,SETD MENA BARRETO,18915260,46,13.2,3302858,4.707,16412.48,10547.951,36,5292.5,2000,8,8,208.42,37,9,28,20650088,17,1,4,13,1,14,MNB001;MNB002;MNB005;MNB007;MNB009;MNB010;MNB011;MNB013;MNB016;MNB017;MNB018;MNB019;MNB020;MNB021,0,0,-43.423572,-22.809434,-43.409253,-22.797913,26104,2008,15057,MENA BARRETO AEREO,13,1,12,21,11,False,MNB001;MNB002;MNB005;MNB007;MNB009;MNB011;MNB013;MNB018;MNB019;MNB020;MNB021,18520902,SETD MENA BARRETO,14994;15057,MENA BARRETO AEREO;PAVUNA,20650088;20708666;20708687;20711690;20711718;20711725;20728091;20781950;20788078;20815373;20820616;305763796;918250450,1,1097
DMC3523,LDA RESERVAJERUSA,LDA,1168,SETD DEMOCRATICOS,1248154,46,13.2,3304557,8.787,16016.094,4362.755,67,9597.5,2787,9,10,199.95,45,10,35,,13,0,0,13,0,10,DMC3326;DMC631;DMC655;DMC739;DMC753;DMC9989;RAM0001;RAM33297;RAM33310;RAM33732,0,1,-43.258816,-22.881524,-43.240273,-22.857707,36348,2796,15056,DEMOCRATICOS AEREO,13,0,13,13,10,False,DMC3326;DMC631;DMC655;DMC739;DMC753;DMC9989;RAM0001;RAM33297;RAM33310;RAM33732,1132;1168,SETD DEMOCRATICOS;SETD RAMOS,15015;15056,DEMOCRATICOS AEREO;RAMOS AEREO,1592856;1592905;1592912;1592982;1597931;1621542;1621598;1622221;1624076;1627674;288917659;332102314;47230162,1,1097
ITP33370,LDA ARENA,LDA,10385988,SETD ITAPEBA,10401335,46,13.2,3304557,22.987,43210.543,36353.19,70,10995.0,4032,15,124,1107.26,82,12,70,,13,0,0,13,0,9,CUR24794;CUR33326;CUR33347;GDN0019;ITP0004;ITP0005;ITP0100;ITP33172;REC6,0,0,-43.445695,-23.003611,-43.409059,-22.972694,52611,4047,15066,ITAPEBA AEREO URBANO,13,0,13,14,9,False,CUR24794;CUR33326;CUR33347;GDN0019;ITP0004;ITP0005;ITP0100;ITP33172;REC6,10385988;10386042;132097219;457474244,SETD CURICICA;SETD GARDENIA;SETD ITAPEBA;SETD RECREIO,14999;15066;16901,CURICICA AEREO;ITAPEBA AEREO URBANO;RECREIO,103987890;11008635;11008649;11008754;11008782;11008894;289374652;306462800;539064592;674437197;684918765;6983180;773267888,1,1097
RTO003,LDA CURIE,LDA,18520875,SETD RETIRO,18915280,46,13.2,3306305,25.879,26973.566,24041.128,133,11050.0,8781,9,209,1765.28,74,13,61,626516182;702094844,13,2,0,13,2,7,RTO002;RTO006;RTO009;VRD009;VRD011;VRD015;VRD019,0,1,-44.121144,-22.502753,-44.06277,-22.463357,114270,8790,14995,RETIRO,13,2,11,13,7,False,RTO002;RTO006;RTO009;VRD009;VRD011;VRD015;VRD019,18520470;18520875,SETD RETIRO;SETD VOLTA REDONDA,14995;15084;15086,RETIRO;VOLTA REDONDA AEREO AT/MT;VOLTA REDONDA AEREO MT/MT,119085911;20233234;20661385;20695002;20695009;20695086;20695156;20695163;29227382;626516182;626516191;702094835;702094844,1,1097
MNB013,LDA GRINALDINA,LDA,18520902,SETD MENA BARRETO,18915320,46,13.2,3302858,12.39,28280.674,12366.458,83,10275.0,6349,5,45,415.97,60,16,44,1002399969;631703293,13,2,0,13,2,7,CRO007;MNB002;MNB006;MNB015;MNB017;PVN0004;PVN70296,0,1,-43.422472,-22.806887,-43.403248,-22.781765,82602,6354,15057,MENA BARRETO AEREO,13,2,11,13,7,False,CRO007;MNB002;MNB006;MNB015;MNB017;PVN0004;PVN70296,1303;18520902;18521055,SETD COELHO DA ROCHA;SETD MENA BARRETO;SETD PAVUNA,14994;15035;15057,COELHO DA ROCHA;MENA BARRETO AEREO;PAVUNA,1002399969;20705691;20705733;20711655;20711725;20711746;20739396;20739410;20739438;215189538;334485768;631703293;97143387,1,1097
AGR010,LDA FRANCA,LDA,1285,SETD AGUA GRANDE,17378073,46,13.2,3304557,8.381,20764.624,12438.217,83,10052.5,4985,4,60,456.03,50,14,36,996783459;996839279;999617537,15,4,2,13,3,7,AGR001;AGR003;AGR005;AGR006;AGR012;CCD205;MTC012,0,0,-43.316081,-22.836298,-43.299745,-22.827701,64857,4989,15045,AGUA GRANDE AEREO,13,3,10,13,7,False,AGR001;AGR003;AGR005;AGR006;AGR012;CCD205;MTC012,1186;1276;1285,SETD AGUA GRANDE;SETD CASCADURA;SETD MATURACA,15031;15045,AGUA GRANDE AEREO;MATURACA AEREO,1611805;1631580;1631622;1631636;1631643;1631650;1631657;1631699;1631839;1631867;996783459;996839279;999617537,1,1097
